uid,task_1_oidx_from_user,use_navigation,understood,worker_id,use_relocation,task_3_oidx_from_user,tasks_easy,incomplete_logfile,use_delivery,frustrated,task_2_correct,task_1_correct,task_2_oidx_from_user,pickle_exists,log_exists,task_3_correct,task_1_str_from_user,object_qs,task_3_str_from_user,task_2_str_from_user,error_found_in_logfile
5a274b261e21d,0,5,6,A32Y9JC775LYLV,5,0,5,1,6,3,-2,-1,0,0,1,-2,0,4,0,0,0
5a272eb5cb609,5,0,0,A1KAIOBTXQ77A6,0,0,5,1,0,6,-1,1,0,0,1,-2,11,6,0,0,0
5a272facf2c86,5,4,4,A2LMNFSF3LG9VS,4,0,4,1,2,6,1,0,5,0,1,-1,7,5,0,12,0
5a2736ae72e43,5,0,0,A2F2DDH12YU4AK,0,0,6,0,0,6,1,1,4,1,1,1,6,6,0,9,0
5a272e558b351,5,2,1,A1NFBKUYYVUYWF,1,0,5,1,0,4,1,1,5,0,1,-1,7,4,0,34,0
5a272e1e6c71c,5,0,3,AFSB8WBSUU2B4,2,0,6,0,1,6,1,1,5,1,1,1,17,6,0,15,0
5a2763ea059f4,5,0,0,A3PEJ2UC43Y4ZN,0,0,0,0,0,6,0,0,5,1,1,0,13,3,0,6,0
5a27323119b98,0,0,0,A2VF6506WDNXKS,0,0,2,1,0,6,-2,-1,0,0,1,-2,0,4,0,0,0
5a27308a69300,0,4,5,A2KMX4HGXSWS7U,3,0,5,1,4,1,-1,1,0,0,1,-2,0,5,0,0,0
5a272eb16b247,0,0,1,A2H2LO1OOF8R5N,1,0,1,1,1,5,-2,-1,0,0,1,-2,0,6,0,0,0
5a27349897205,5,0,0,A1EF9MMF5GNBP5,0,0,2,1,0,5,-1,1,0,0,1,-2,9,5,0,0,0
5a272e43166d0,5,0,0,A2O76FE5NQWOC8,0,0,1,0,0,6,0,1,5,1,1,0,7,6,0,19,0
5a272e4259786,5,0,1,AAJ1ZQECDZBEE,0,0,5,1,0,6,-1,1,0,0,1,-2,6,6,0,0,0
5a272f0ca5172,5,4,3,A15TM64IN6XWJ6,5,0,4,0,5,1,0,0,5,1,1,0,16,1,0,13,0
5a2748378512f,5,4,1,A3KX1VCEVA6OXY,4,0,3,1,4,3,1,0,5,0,1,-1,6,4,0,10,0
5a274284dde23,5,0,0,A1RVMADIZE3BXK,0,0,2,1,0,5,0,1,0,0,1,-1,6,4,0,0,0
5a274b6295356,5,0,0,A28HB7240OFGEW,0,0,1,0,0,6,1,0,2,1,1,0,10,6,0,14,0
5a274743402b0,5,0,0,A2YUCJ28XANFOX,0,0,0,1,0,6,-1,0,0,0,1,-2,8,4,0,0,0
5a272fb86a99a,0,0,1,A4IH4CO046EV3,0,0,4,0,0,6,0,0,5,1,1,0,5,6,0,20,0
5a272eb985036,5,0,1,A3JXAURWDF54DG,0,0,6,1,0,4,1,0,0,0,1,-1,6,5,0,27,0
5a2738bb08fd3,5,1,4,A3ORZPMVIVNGJS,3,0,6,0,3,5,1,1,5,1,1,0,5,3,0,10,0
5a272ecf3fd7a,5,0,1,A1EJ4HA4K85PBJ,0,0,4,1,0,5,0,0,5,0,1,-1,13,5,0,4,1
5a27350a9e3c8,5,5,1,A1JTWL9C01VHVS,5,0,6,1,5,6,-1,1,0,0,1,-2,4,0,0,0,0
5a272e29c0259,5,0,1,A3FJE9AUW0O41D,1,0,3,0,1,4,0,1,5,1,1,1,5,1,0,14,0
5a272e1095bfe,5,0,0,A2XVL0RNQMWI17,0,0,2,0,0,6,0,1,5,1,1,1,6,6,0,9,0
5a27405670d46,5,3,0,A1LALIPHG70312,2,0,3,0,2,6,1,0,5,1,1,0,7,6,0,9,0
5a273293e2ff3,5,5,1,A3RT82GOZ3OGJO,5,0,1,1,5,5,0,1,5,0,1,-1,5,1,0,12,0
5a2750a7251d6,5,0,0,A2RHJT0OMA09YH,0,0,0,1,0,0,-1,0,0,0,1,-2,16,0,0,0,0
5a272e3192630,5,4,2,A32W24TWSWXW,1,0,2,0,2,1,0,0,5,1,1,0,5,0,0,4,0
5a260f71c6ab2,5,4,5,A20SMUCY0FQA7Z,4,0,4,1,5,5,0,0,0,0,1,-1,4,5,0,0,0
5a260ad36e717,5,6,4,AHRUMV5C1O0TD,5,0,5,1,6,1,-1,0,0,0,1,-2,5,5,0,0,0
5a2601cd5ca3e,5,3,2,A27F76XB3KS0W2,3,0,4,0,3,4,1,0,5,1,1,0,5,4,0,52,0
5a261d3663ec6,0,6,6,A2KH9SC6A8VQXZ,5,0,5,1,5,5,-1,0,0,0,1,-2,15,6,0,0,0
5a261e8bbc5bd,0,1,2,AYKQ1UN34V8KL,1,0,3,1,1,4,-1,0,0,0,1,-2,9,4,0,0,0
5a260c2a357d2,0,1,1,A2ZB24AEN6N7Y3,1,0,4,1,1,1,-2,-1,0,0,1,-2,0,1,0,0,0
5a26148dc85df,0,1,4,A2SKV4XPYZ303H,1,0,4,1,1,5,-1,0,0,0,1,-2,8,2,0,0,0
5a261c2b5cbd7,5,0,5,A23DQV3KHW7XXW,0,0,6,1,0,3,1,0,4,0,1,-1,5,6,0,8,0
5a2620c101729,0,5,4,A2X3QCJK0H18T8,3,0,3,1,4,5,-2,-1,0,0,1,-2,0,6,0,0,0
5a260214c211b,5,1,0,A2NQO3JAPV0MUQ,1,0,0,1,1,6,1,1,5,0,1,-1,11,6,0,8,0
5a260ffad5985,5,4,4,A2FXD55FJV1RSV,6,0,5,0,5,4,1,1,4,1,1,1,7,6,0,5,0
5a2608466d09b,0,2,1,A1IU5OP7BBZHZ7,4,0,4,1,2,3,-2,-1,0,0,1,-2,0,4,0,0,0
5a2607b90f09c,5,5,4,A3QI1RV4HQ9MOC,5,0,6,0,6,4,0,0,5,1,1,0,10,1,0,24,0
5a2601ff3de2f,5,1,3,A37V2BNHM204M7,1,0,4,1,1,5,1,1,0,0,1,-1,10,6,0,0,0
5a260333c1cf3,5,2,1,A1RUV1CAYS0Q3E,2,0,5,0,2,6,0,1,5,1,1,1,5,4,0,52,0
5a26021420ced,5,2,1,A1ICXZVLIZM6IF,5,0,5,0,5,4,1,0,0,1,1,1,14,1,0,21,0
5a261e1d875fd,0,4,5,A1Y2N49VMVJ7C6,4,0,4,1,3,4,-2,-1,0,0,1,-2,0,3,0,0,0
5a2601efc1d38,5,0,1,AX52PJTN3QQBI,0,0,1,0,0,6,0,0,5,1,1,0,5,6,0,9,0
5a26022ae4b08,5,3,4,A55CXM7QR7R0N,3,0,5,0,3,6,0,0,5,1,1,0,11,6,0,11,0
5a26050551354,5,1,4,AAR5VQ8QIO5PC,2,0,5,0,2,3,1,1,4,1,1,0,6,1,0,28,0
5a262b1527704,5,6,6,A3GERFIF45QJSD,6,0,5,0,5,0,0,0,0,1,1,0,5,5,0,11,0
