"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3HY86PZXPYJYD9D0FC5QTXCOD67E1L","3PZBZMF78IJ9Y6FV8MGRH782SIJ9XY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Sat Dec 02 11:58:08 PST 2017","50","BatchId:3033380;OriginalHitTemplateId:920937340;","86400","259200","Sun Dec 03 15:05:30 PST 2017","","","31IBVUNM9S09SJQO73EM7M0Q4XNFVV","A175PJR0W3LO8I","Approved","Sat Dec 02 12:20:31 PST 2017","Sat Dec 02 12:43:19 PST 2017","Tue Dec 05 12:43:19 PST 2017","Sun Dec 03 15:06:44 PST 2017","","","1368","100% (1/1)","100% (1/1)","100% (1/1)","5a230b16e4616_6b0bf13cb5fb4"
"3HY86PZXPYJYD9D0FC5QTXCOD67E1L","3PZBZMF78IJ9Y6FV8MGRH782SIJ9XY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Sat Dec 02 11:58:08 PST 2017","50","BatchId:3033380;OriginalHitTemplateId:920937340;","86400","259200","Sun Dec 03 15:05:30 PST 2017","","","32N49TQG3GJEWS9GWNSUTLPZ7KJVAD","A3EQ6C5226X6XN","Submitted","Sun Dec 03 01:20:46 PST 2017","Sun Dec 03 22:16:49 PST 2017","Wed Dec 06 22:16:49 PST 2017","","","","75363","0% (0/0)","0% (0/0)","0% (0/0)","5a24e6da180d9_0d1c579def79b"
"3HY86PZXPYJYD9D0FC5QTXCOD67E1L","3PZBZMF78IJ9Y6FV8MGRH782SIJ9XY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Sat Dec 02 11:58:08 PST 2017","50","BatchId:3033380;OriginalHitTemplateId:920937340;","86400","259200","Sun Dec 03 15:05:30 PST 2017","","","33M4IA01QG2YZY0SYDFYCWBUNW6XRB","A2HNP1YL1IBFMU","Approved","Sat Dec 02 12:39:44 PST 2017","Sat Dec 02 13:09:34 PST 2017","Tue Dec 05 13:09:34 PST 2017","Sun Dec 03 15:06:44 PST 2017","","","1790","100% (1/1)","100% (1/1)","100% (1/1)","5a230ce418636_f1e7ee74c5733"
"3HY86PZXPYJYD9D0FC5QTXCOD67E1L","3PZBZMF78IJ9Y6FV8MGRH782SIJ9XY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Sat Dec 02 11:58:08 PST 2017","50","BatchId:3033380;OriginalHitTemplateId:920937340;","86400","259200","Sun Dec 03 15:05:30 PST 2017","","","354P56DE9K4GLYUEVPB587327737SB","A1IU5OP7BBZHZ7","Approved","Sat Dec 02 17:49:59 PST 2017","Sat Dec 02 17:52:04 PST 2017","Tue Dec 05 17:52:04 PST 2017","Sun Dec 03 15:06:44 PST 2017","","","125","100% (1/1)","100% (1/1)","100% (1/1)","5a2355315405a_d6a2bcedde8c1"
"3HY86PZXPYJYD9D0FC5QTXCOD67E1L","3PZBZMF78IJ9Y6FV8MGRH782SIJ9XY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Sat Dec 02 11:58:08 PST 2017","50","BatchId:3033380;OriginalHitTemplateId:920937340;","86400","259200","Sun Dec 03 15:05:30 PST 2017","","","36DSNE9QZ5ZU713NPHJTRSYA1DTJOQ","A26XN1TM6CV01T","Approved","Sat Dec 02 17:15:41 PST 2017","Sat Dec 02 18:15:05 PST 2017","Tue Dec 05 18:15:05 PST 2017","Sun Dec 03 15:06:44 PST 2017","","","3564","100% (3/3)","100% (1/1)","100% (1/1)","5a235b1059c16_51b67d3470192"
"3HY86PZXPYJYD9D0FC5QTXCOD67E1L","3PZBZMF78IJ9Y6FV8MGRH782SIJ9XY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Sat Dec 02 11:58:08 PST 2017","50","BatchId:3033380;OriginalHitTemplateId:920937340;","86400","259200","Sun Dec 03 15:05:30 PST 2017","","","37Q970SNZE92ACFC69UW7XCP4OWS1Y","A39J8MSTUDVH0D","Approved","Sun Dec 03 14:37:10 PST 2017","Sun Dec 03 14:37:16 PST 2017","Wed Dec 06 14:37:16 PST 2017","Sun Dec 03 15:06:44 PST 2017","","","6","100% (1/1)","100% (1/1)","100% (1/1)","5a24749ac4ab6_29fb204b16118"
"3HY86PZXPYJYD9D0FC5QTXCOD67E1L","3PZBZMF78IJ9Y6FV8MGRH782SIJ9XY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Sat Dec 02 11:58:08 PST 2017","50","BatchId:3033380;OriginalHitTemplateId:920937340;","86400","259200","Sun Dec 03 15:05:30 PST 2017","","","37TD41K0AHAMXFPAM6JGOTVG8JLCS2","A1S88VQY8G8CNC","Approved","Sun Dec 03 03:34:52 PST 2017","Sun Dec 03 03:38:37 PST 2017","Wed Dec 06 03:38:37 PST 2017","Sun Dec 03 15:06:44 PST 2017","","","225","91% (31/34)","100% (1/1)","100% (1/1)","5a23e1625346d_3894bc52cf80b"
"3HY86PZXPYJYD9D0FC5QTXCOD67E1L","3PZBZMF78IJ9Y6FV8MGRH782SIJ9XY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Sat Dec 02 11:58:08 PST 2017","50","BatchId:3033380;OriginalHitTemplateId:920937340;","86400","259200","Sun Dec 03 15:05:30 PST 2017","","","37U1UTWH9VN8KXZKQ536WXU1WOH8R0","A1A9SUYOFNNR3Y","Approved","Sat Dec 02 17:06:09 PST 2017","Sat Dec 02 17:18:11 PST 2017","Tue Dec 05 17:18:11 PST 2017","Sun Dec 03 15:06:45 PST 2017","","","722","100% (1/1)","100% (1/1)","100% (1/1)","5a234e08d4608_dbb3842f953c7"
"3HY86PZXPYJYD9D0FC5QTXCOD67E1L","3PZBZMF78IJ9Y6FV8MGRH782SIJ9XY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Sat Dec 02 11:58:08 PST 2017","50","BatchId:3033380;OriginalHitTemplateId:920937340;","86400","259200","Sun Dec 03 15:05:30 PST 2017","","","39DD6S19JPCYVPV2DPJJAASMG7DEZB","A3QI1RV4HQ9MOC","Approved","Sat Dec 02 11:59:50 PST 2017","Sat Dec 02 12:14:22 PST 2017","Tue Dec 05 12:14:22 PST 2017","Sun Dec 03 15:06:45 PST 2017","","","872","100% (3/3)","100% (3/3)","100% (2/2)","5a2306d7f260b_0e725b1dabd83"
"3HY86PZXPYJYD9D0FC5QTXCOD67E1L","3PZBZMF78IJ9Y6FV8MGRH782SIJ9XY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Sat Dec 02 11:58:08 PST 2017","50","BatchId:3033380;OriginalHitTemplateId:920937340;","86400","259200","Sun Dec 03 15:05:30 PST 2017","","","39N5ACM9HEONMP2FI55VRYPXFBQ9PB","A6NN7XDLH3RON","Approved","Sat Dec 02 12:00:31 PST 2017","Sat Dec 02 14:40:00 PST 2017","Tue Dec 05 14:40:00 PST 2017","Sun Dec 03 15:06:45 PST 2017","","","9569","100% (4/4)","100% (4/4)","100% (2/2)","5a2324c4f0011_77b5e8726027c"
