"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3VMV5CHJZ8GX67L0NQFOZ6GVJMATGM","334916ZQEK5HNGOO7A9T5SPPUPJZTK","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.20","Mon Dec 04 18:16:21 PST 2017","50","BatchId:3036418;OriginalHitTemplateId:920937340;","7200","259200","Thu Dec 07 18:16:21 PST 2017","","","30MVJZJNHMER0EZHNS0BU23L6NY9JB","A20SMUCY0FQA7Z","Submitted","Mon Dec 04 18:42:43 PST 2017","Mon Dec 04 19:51:19 PST 2017","Thu Dec 07 19:51:19 PST 2017","","","","4116","100% (3/3)","100% (3/3)","100% (2/2)","5a260f71c6ab2_74f12f4894072"
"3VMV5CHJZ8GX67L0NQFOZ6GVJMATGM","334916ZQEK5HNGOO7A9T5SPPUPJZTK","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.20","Mon Dec 04 18:16:21 PST 2017","50","BatchId:3036418;OriginalHitTemplateId:920937340;","7200","259200","Thu Dec 07 18:16:21 PST 2017","","","31HQ4X3T3SBF0JJGZJCFRCL320SSL7","AHRUMV5C1O0TD","Submitted","Mon Dec 04 18:46:09 PST 2017","Mon Dec 04 19:18:35 PST 2017","Thu Dec 07 19:18:35 PST 2017","","","","1946","0% (0/0)","0% (0/0)","0% (0/0)","5a260ad36e717_3712c88f9f280"
"3VMV5CHJZ8GX67L0NQFOZ6GVJMATGM","334916ZQEK5HNGOO7A9T5SPPUPJZTK","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.20","Mon Dec 04 18:16:21 PST 2017","50","BatchId:3036418;OriginalHitTemplateId:920937340;","7200","259200","Thu Dec 07 18:16:21 PST 2017","","","31IBVUNM9S09SJQO73EM7M0Q48VFVP","A27F76XB3KS0W2","Submitted","Mon Dec 04 18:17:36 PST 2017","Mon Dec 04 18:39:10 PST 2017","Thu Dec 07 18:39:10 PST 2017","","","","1294","0% (0/0)","0% (0/0)","0% (0/0)","5a2601cd5ca3e_72a3b48da5828"
"3VMV5CHJZ8GX67L0NQFOZ6GVJMATGM","334916ZQEK5HNGOO7A9T5SPPUPJZTK","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.20","Mon Dec 04 18:16:21 PST 2017","50","BatchId:3036418;OriginalHitTemplateId:920937340;","7200","259200","Thu Dec 07 18:16:21 PST 2017","","","32Z9ZLUT1LLYGV8X1HG8FFIVOV9HON","A2KH9SC6A8VQXZ","Submitted","Mon Dec 04 20:14:19 PST 2017","Mon Dec 04 20:31:00 PST 2017","Thu Dec 07 20:31:00 PST 2017","","","","1001","0% (0/0)","0% (0/0)","0% (0/0)","5a261d3663ec6_8c687c99897ba"
"3VMV5CHJZ8GX67L0NQFOZ6GVJMATGM","334916ZQEK5HNGOO7A9T5SPPUPJZTK","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.20","Mon Dec 04 18:16:21 PST 2017","50","BatchId:3036418;OriginalHitTemplateId:920937340;","7200","259200","Thu Dec 07 18:16:21 PST 2017","","","33PPUNGG386N4T07ZV3J9HR5V8ARZW","AYKQ1UN34V8KL","Submitted","Mon Dec 04 20:18:13 PST 2017","Mon Dec 04 20:40:33 PST 2017","Thu Dec 07 20:40:33 PST 2017","","","","1340","0% (0/0)","0% (0/0)","0% (0/0)","5a261e8bbc5bd_177e31f221616"
"3VMV5CHJZ8GX67L0NQFOZ6GVJMATGM","334916ZQEK5HNGOO7A9T5SPPUPJZTK","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.20","Mon Dec 04 18:16:21 PST 2017","50","BatchId:3036418;OriginalHitTemplateId:920937340;","7200","259200","Thu Dec 07 18:16:21 PST 2017","","","34T446B1C0FMW65YD40WENPXDZR0C8","A2ZB24AEN6N7Y3","Submitted","Mon Dec 04 19:01:27 PST 2017","Mon Dec 04 19:12:58 PST 2017","Thu Dec 07 19:12:58 PST 2017","","","","691","0% (0/0)","0% (0/0)","0% (0/0)","5a260c2a357d2_a214cb084cb50"
"3VMV5CHJZ8GX67L0NQFOZ6GVJMATGM","334916ZQEK5HNGOO7A9T5SPPUPJZTK","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.20","Mon Dec 04 18:16:21 PST 2017","50","BatchId:3036418;OriginalHitTemplateId:920937340;","7200","259200","Thu Dec 07 18:16:21 PST 2017","","","35DR22AR5DL6GWFQNNE2UY8EHTYX31","A2SKV4XPYZ303H","Submitted","Mon Dec 04 18:17:20 PST 2017","Mon Dec 04 19:58:08 PST 2017","Thu Dec 07 19:58:08 PST 2017","","","","6048","0% (0/0)","0% (0/0)","0% (0/0)","5a26148dc85df_9980f51e3f1b8"
"3VMV5CHJZ8GX67L0NQFOZ6GVJMATGM","334916ZQEK5HNGOO7A9T5SPPUPJZTK","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.20","Mon Dec 04 18:16:21 PST 2017","50","BatchId:3036418;OriginalHitTemplateId:920937340;","7200","259200","Thu Dec 07 18:16:21 PST 2017","","","35GCEFQ6I5PVLRF5O52NRJOPPTYZ32","A23DQV3KHW7XXW","Submitted","Mon Dec 04 18:30:28 PST 2017","Mon Dec 04 20:29:33 PST 2017","Thu Dec 07 20:29:33 PST 2017","","","","7145","0% (0/0)","0% (0/0)","0% (0/0)","5a261c2b5cbd7_3286d963e0c23"
"3VMV5CHJZ8GX67L0NQFOZ6GVJMATGM","334916ZQEK5HNGOO7A9T5SPPUPJZTK","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.20","Mon Dec 04 18:16:21 PST 2017","50","BatchId:3036418;OriginalHitTemplateId:920937340;","7200","259200","Thu Dec 07 18:16:21 PST 2017","","","386PBUZZXFYM1G0QCP31ZBUG6HALJF","A2X3QCJK0H18T8","Submitted","Mon Dec 04 20:09:38 PST 2017","Mon Dec 04 20:39:18 PST 2017","Thu Dec 07 20:39:18 PST 2017","","","","1780","0% (0/0)","0% (0/0)","0% (0/0)","5a2620c101729_365207ec8432c"
"3VMV5CHJZ8GX67L0NQFOZ6GVJMATGM","334916ZQEK5HNGOO7A9T5SPPUPJZTK","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.20","Mon Dec 04 18:16:21 PST 2017","50","BatchId:3036418;OriginalHitTemplateId:920937340;","7200","259200","Thu Dec 07 18:16:21 PST 2017","","","392CY0QWG1SU8X9ZOFJK1TD57GQI47","A2NQO3JAPV0MUQ","Submitted","Mon Dec 04 18:18:48 PST 2017","Mon Dec 04 18:32:21 PST 2017","Thu Dec 07 18:32:21 PST 2017","","","","813","100% (1/1)","100% (1/1)","100% (1/1)","5a260214c211b_08b97e8cb3f7f"
