uid,task_1_oidx_from_user,use_navigation,understood,worker_id,use_relocation,task_3_oidx_from_user,tasks_easy,incomplete_logfile,use_delivery,frustrated,task_2_correct,task_1_correct,task_2_oidx_from_user,pickle_exists,log_exists,task_3_correct,task_1_str_from_user,object_qs,task_3_str_from_user,task_2_str_from_user,error_found_in_logfile
5a2b2d60deb0b,5,0,4,A1ICXZVLIZM6IF,4,5,5,1,2,6,1,1,5,1,1,-1,13,1,25,40,0
5a2b47b947e0e,5,0,0,A3VENK02U0X16N,0,5,3,1,0,6,1,0,5,1,1,-1,5,4,25,32,0
5a2b2c7f852bb,5,3,4,A1IHZABAVTUOXQ,4,5,5,1,4,1,0,0,5,1,1,0,6,3,2,21,0
5a2b2bb8d4dd0,5,0,0,A16184N1RO5OJV,0,0,0,1,0,6,0,1,5,1,1,-1,6,6,27,9,0
5a2b91b6ce988,5,5,6,A2QIZ31TMHU0GD,5,0,6,1,4,3,0,0,5,1,1,-1,14,6,0,6,0
5a2b3e2c9b162,5,5,6,A283BCKHLF447S,4,0,5,1,5,5,-2,-1,0,0,1,-2,11,4,0,0,0
5a2b2c2609b96,5,1,0,A1Z37HK53J8S87,1,0,5,1,3,6,-1,1,5,1,1,-2,5,3,0,17,0
5a2b3e061ba74,5,2,5,A2DXDKP02YEP0V,4,5,5,1,4,1,0,1,5,1,1,0,2,1,12,17,0
5a2b30c41c9e2,5,1,1,A5P60L5IKHR34,1,5,1,1,1,6,0,0,5,1,1,0,8,5,7,19,0
5a2b486ce1f53,5,3,4,A32Y9JC775LYLV,5,5,5,1,4,6,0,0,5,1,1,0,25,5,17,9,0
5a2b334ea9f70,5,0,0,A2F2DDH12YU4AK,0,5,6,1,0,6,1,1,5,1,1,1,7,6,38,46,0
5a2b2bf705b56,5,0,0,A391YX70SIC70X,0,5,2,1,0,4,1,0,5,1,1,0,15,3,19,26,0
5a2b2bada09b7,5,2,2,A2ETY1O927Z1IF,2,0,2,1,2,4,-1,0,0,1,1,-2,12,4,0,0,0
5a2b3b6d971ea,5,1,0,ABLP1KUWW46S6,0,5,6,1,0,6,0,0,5,1,1,0,6,6,15,18,0
5a2b2bcfcade8,5,1,1,A16LTU114BWG76,1,0,1,1,1,4,-1,1,5,1,1,-2,3,4,0,18,0
5a2b4076dc3d4,0,4,3,A1ZTSCPETU3UJW,4,0,4,1,4,2,-1,0,0,1,1,-2,0,2,0,0,0
5a2b44958b865,0,6,1,AK4LIX55TS0OA,6,0,5,1,6,3,-1,0,0,1,1,-2,0,2,0,0,0
5a2b6666c02e2,5,2,3,AYCGL8UG3ZVVK,2,2,4,1,2,5,1,1,5,1,1,-1,5,4,8,13,0
5a2b2c197db9c,5,0,1,A2HC9549CZAKNN,0,0,5,1,0,6,1,0,5,1,1,1,16,6,27,25,0
5a2b4aabcaa78,5,0,0,AEO8NL8D28NQG,0,5,5,1,0,6,1,1,5,1,1,0,8,6,27,9,0
5a2b3188c79a8,5,0,0,AEECEMJS22D2E,0,5,6,1,0,6,0,0,5,1,1,-1,7,6,22,14,0
5a2b4a161c4a2,5,0,0,AJFVK3O1D7SPE,0,5,5,1,0,6,1,1,5,1,1,-1,5,5,13,26,0
5a2b3a06d8684,5,5,5,AYKQ1UN34V8KL,5,3,6,1,5,2,0,1,4,1,1,0,5,5,11,8,0
5a2b4858a1ae0,5,0,0,A2HGZOXZ36XKRI,0,0,5,1,0,6,-1,1,5,1,1,-2,4,6,0,16,0
5a2b2bd07565b,5,0,0,AFSB8WBSUU2B4,0,5,0,1,0,0,1,1,5,1,1,-1,9,4,20,15,0
5a2b2d885cfd5,5,0,0,A2IFRY1FU6PYDU,0,5,0,1,0,6,0,1,5,1,1,0,12,6,12,24,0
5a2b4fd45b6e5,5,2,2,A57SOPA0X8KY4,4,5,4,1,4,4,1,1,5,1,1,1,8,4,21,61,0
5a2b682f4e7b2,5,2,4,A21B78D7E5N17N,1,5,3,1,1,5,0,0,5,1,1,-1,8,4,38,13,0
5a2b3bc276a84,5,4,5,A3PLRMX7LGFL0A,5,0,5,1,5,6,-2,-1,0,0,1,-2,12,6,0,0,0
5a2b36186729b,5,4,5,A1Z6F6EIUJFC6T,5,0,5,1,4,4,-2,-1,0,0,1,-2,12,5,0,0,0
5a2c26b26d299,5,3,3,A3GSIZ2GX4L1Z3,4,0,5,1,3,4,0,1,5,1,1,-1,11,4,0,10,0
5a2c25d55ab41,5,5,5,AYLAJHJXMPIBM,6,0,4,1,4,3,1,0,5,1,1,-1,13,4,0,4,0
5a2c25bfeb965,5,0,1,A3ACOOXY35NDFS,0,5,5,1,0,5,1,1,5,1,1,0,4,2,27,32,0
5a2c4784f2cf0,5,0,1,A3TS2NCBAB9L6V,0,5,5,1,0,6,1,1,5,1,1,-1,9,5,22,12,0
5a2c28143a87d,5,0,0,A1RXG8RE0SJ4LC,0,5,1,1,0,6,0,0,5,1,1,-1,5,6,25,14,0
5a2c432a4340a,5,5,3,A13B56UPRDS9HH,3,5,5,1,1,3,0,0,4,1,1,0,2,5,7,7,0
5a2c38f17d1ac,5,3,3,A1RG6DXHRLUGDI,3,5,3,1,3,6,0,0,4,1,1,0,2,3,12,7,0
5a2c31533b624,5,2,2,A1GWRBXJ7HD5K3,4,0,5,1,4,4,-1,1,0,1,1,-2,9,4,0,0,0
5a2c2ae83f848,5,0,1,A1WTIPXQDJIMUI,0,5,6,1,0,6,1,1,4,1,1,1,5,6,13,16,0
5a2c36ccb1e83,5,0,0,A340B0S81G6W8J,0,0,1,1,0,1,0,0,5,1,1,-1,8,4,0,10,0
5a2c4252e5054,5,0,1,A33QI63NVR8CUO,0,5,0,1,0,5,0,0,5,1,1,0,10,5,7,11,0
5a2c2b02787ea,0,4,3,ACIHCWKHNFC7U,5,0,2,1,4,4,-2,-1,0,0,1,-2,0,3,0,0,0
5a2c25f2b5f9c,5,1,2,A2FYQIZWV2UJHS,1,5,1,1,1,4,1,0,5,1,1,-1,12,4,19,16,0
