"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3BAWBGQGYL0TQ6EOZIB9UBRNHFAV7Q","3DQQATL6OSFBB5KOS5KZXPA7IE3I4F","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn","robot, human-robot interaction, dialog","$1.00","Fri Dec 08 16:16:38 PST 2017","30","BatchId:3042071;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 11 16:16:38 PST 2017","","","30OG32W0SUC4E0HJA18PFNLD8IEENJ","A1ICXZVLIZM6IF","Submitted","Fri Dec 08 16:24:55 PST 2017","Fri Dec 08 16:54:53 PST 2017","Mon Dec 11 16:54:53 PST 2017","","","","1798","100% (2/2)","100% (2/2)","100% (2/2)","5a2b2d60deb0b_f82c1cfd8a9b2"
"3BAWBGQGYL0TQ6EOZIB9UBRNHFAV7Q","3DQQATL6OSFBB5KOS5KZXPA7IE3I4F","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn","robot, human-robot interaction, dialog","$1.00","Fri Dec 08 16:16:38 PST 2017","30","BatchId:3042071;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 11 16:16:38 PST 2017","","","3180JW2OT4D8ZRX5K2NUIMYJM6NJ5Y","A3VENK02U0X16N","Submitted","Fri Dec 08 18:17:19 PST 2017","Fri Dec 08 18:40:34 PST 2017","Mon Dec 11 18:40:34 PST 2017","","","","1395","0% (0/0)","0% (0/0)","0% (0/0)","5a2b47b947e0e_5e6dd9ba8f577"
"3BAWBGQGYL0TQ6EOZIB9UBRNHFAV7Q","3DQQATL6OSFBB5KOS5KZXPA7IE3I4F","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn","robot, human-robot interaction, dialog","$1.00","Fri Dec 08 16:16:38 PST 2017","30","BatchId:3042071;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 11 16:16:38 PST 2017","","","32EYX73OY0A6IU6XT84BSPCQV3XUR4","A1IHZABAVTUOXQ","Submitted","Fri Dec 08 16:21:02 PST 2017","Fri Dec 08 16:36:38 PST 2017","Mon Dec 11 16:36:38 PST 2017","","","","936","0% (0/0)","0% (0/0)","0% (0/0)","5a2b2c7f852bb_1228308ac1078"
"3BAWBGQGYL0TQ6EOZIB9UBRNHFAV7Q","3DQQATL6OSFBB5KOS5KZXPA7IE3I4F","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn","robot, human-robot interaction, dialog","$1.00","Fri Dec 08 16:16:38 PST 2017","30","BatchId:3042071;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 11 16:16:38 PST 2017","","","33SA9F9TRXVU1UQX22ZCB6Y41UIEWA","A16184N1RO5OJV","Submitted","Fri Dec 08 16:18:02 PST 2017","Fri Dec 08 16:45:00 PST 2017","Mon Dec 11 16:45:00 PST 2017","","","","1618","0% (0/0)","0% (0/0)","0% (0/0)","5a2b2bb8d4dd0_2ff6b373340c7"
"3BAWBGQGYL0TQ6EOZIB9UBRNHFAV7Q","3DQQATL6OSFBB5KOS5KZXPA7IE3I4F","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn","robot, human-robot interaction, dialog","$1.00","Fri Dec 08 16:16:38 PST 2017","30","BatchId:3042071;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 11 16:16:38 PST 2017","","","34Z02EIMISE3IN79ZQVM3XP131TT0K","A2QIZ31TMHU0GD","Submitted","Fri Dec 08 23:33:00 PST 2017","Fri Dec 08 23:53:28 PST 2017","Mon Dec 11 23:53:28 PST 2017","","","","1228","0% (0/0)","0% (0/0)","0% (0/0)","5a2b91b6ce988_677702f9a75ff"
"3BAWBGQGYL0TQ6EOZIB9UBRNHFAV7Q","3DQQATL6OSFBB5KOS5KZXPA7IE3I4F","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn","robot, human-robot interaction, dialog","$1.00","Fri Dec 08 16:16:38 PST 2017","30","BatchId:3042071;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 11 16:16:38 PST 2017","","","352YTHGROVEUC2YFIX1Z1HCQ9HBH47","A283BCKHLF447S","Submitted","Fri Dec 08 16:20:09 PST 2017","Fri Dec 08 17:51:46 PST 2017","Mon Dec 11 17:51:46 PST 2017","","","","5497","0% (0/0)","0% (0/0)","0% (0/0)","5a2b3e2c9b162_fda52b4e1d374"
"3BAWBGQGYL0TQ6EOZIB9UBRNHFAV7Q","3DQQATL6OSFBB5KOS5KZXPA7IE3I4F","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn","robot, human-robot interaction, dialog","$1.00","Fri Dec 08 16:16:38 PST 2017","30","BatchId:3042071;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 11 16:16:38 PST 2017","","","3A7Y0R2P2OPH1AHFQ86PA5P3F4KJXT","A1Z37HK53J8S87","Submitted","Fri Dec 08 16:18:21 PST 2017","Fri Dec 08 16:32:10 PST 2017","Mon Dec 11 16:32:10 PST 2017","","","","829","0% (0/0)","0% (0/0)","0% (0/0)","5a2b2c2609b96_d43f97a67caa7"
"3BAWBGQGYL0TQ6EOZIB9UBRNHFAV7Q","3DQQATL6OSFBB5KOS5KZXPA7IE3I4F","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn","robot, human-robot interaction, dialog","$1.00","Fri Dec 08 16:16:38 PST 2017","30","BatchId:3042071;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 11 16:16:38 PST 2017","","","3A7Y0R2P2OPH1AHFQ86PA5P3F4MXJ9","A2DXDKP02YEP0V","Submitted","Fri Dec 08 16:35:24 PST 2017","Fri Dec 08 17:50:17 PST 2017","Mon Dec 11 17:50:17 PST 2017","","","","4493","0% (0/0)","0% (0/0)","0% (0/0)","5a2b3e061ba74_b2d54a7fafa78"
"3BAWBGQGYL0TQ6EOZIB9UBRNHFAV7Q","3DQQATL6OSFBB5KOS5KZXPA7IE3I4F","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn","robot, human-robot interaction, dialog","$1.00","Fri Dec 08 16:16:38 PST 2017","30","BatchId:3042071;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 11 16:16:38 PST 2017","","","3CN4LGXD5XPGYXO4SX5NNH7TZDQ4YV","A5P60L5IKHR34","Submitted","Fri Dec 08 16:33:39 PST 2017","Fri Dec 08 16:47:45 PST 2017","Mon Dec 11 16:47:45 PST 2017","","","","846","100% (2/2)","100% (2/2)","100% (2/2)","5a2b30c41c9e2_a4d690c80fb3b"
"3BAWBGQGYL0TQ6EOZIB9UBRNHFAV7Q","3DQQATL6OSFBB5KOS5KZXPA7IE3I4F","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn","robot, human-robot interaction, dialog","$1.00","Fri Dec 08 16:16:38 PST 2017","30","BatchId:3042071;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 11 16:16:38 PST 2017","","","3ERET4BTVMAMBY5Z5D0NVH3YNR79KF","A32Y9JC775LYLV","Submitted","Fri Dec 08 18:20:20 PST 2017","Fri Dec 08 18:39:48 PST 2017","Mon Dec 11 18:39:48 PST 2017","","","","1168","100% (2/2)","100% (2/2)","100% (2/2)","5a2b486ce1f53_ba7a4cdf8556a"
