"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"36818Z1KV3ERXZA3MBHNL71UHMTA3X","3Z53LF8QZE8UWIVDKCKWDQ93U0OFCW","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [please do not take this HIT if you have completed a similar one before]","robot, human-robot interaction, dialog","$0.75","Wed Nov 28 11:08:56 PST 2018","51","BatchId:3452611;OriginalHitTemplateId:920937340;","7200","259200","Sat Dec 01 15:15:45 PST 2018","","","30BUDKLTXDW0OBBD61C3L6LUPLQE5V","A33B85TN97HQ33","Submitted","Wed Nov 28 13:33:01 PST 2018","Wed Nov 28 13:39:35 PST 2018","Sat Dec 01 13:39:35 PST 2018","","","","394","100% (6/6)","0% (0/0)","0% (0/0)","5bff09914990f_B85TN97HQ33A33_876b94ba5e7ce"
"36818Z1KV3ERXZA3MBHNL71UHMTA3X","3Z53LF8QZE8UWIVDKCKWDQ93U0OFCW","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [please do not take this HIT if you have completed a similar one before]","robot, human-robot interaction, dialog","$0.75","Wed Nov 28 11:08:56 PST 2018","51","BatchId:3452611;OriginalHitTemplateId:920937340;","7200","259200","Sat Dec 01 15:15:45 PST 2018","","","32RIADZISS5J2BCVTRDY5VJVQFUS4T","A1P6OXEJ86HQRM","Submitted","Wed Nov 28 11:10:50 PST 2018","Wed Nov 28 11:49:12 PST 2018","Sat Dec 01 11:49:12 PST 2018","","","","2302","0% (0/0)","0% (0/0)","0% (0/0)","5bfef04b018bd_6OXEJ86HQRMA1P_c5d44a42639be"
"36818Z1KV3ERXZA3MBHNL71UHMTA3X","3Z53LF8QZE8UWIVDKCKWDQ93U0OFCW","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [please do not take this HIT if you have completed a similar one before]","robot, human-robot interaction, dialog","$0.75","Wed Nov 28 11:08:56 PST 2018","51","BatchId:3452611;OriginalHitTemplateId:920937340;","7200","259200","Sat Dec 01 15:15:45 PST 2018","","","338JKRMM2609EREWRYBQEKYT9FUAHO","A125KW9P18V5Z1","Submitted","Wed Nov 28 12:14:15 PST 2018","Wed Nov 28 13:52:40 PST 2018","Sat Dec 01 13:52:40 PST 2018","","","","5905","0% (0/0)","0% (0/0)","0% (0/0)","5bff0cff09807_5KW9P18V5Z1A12_64239d88534aa"
"36818Z1KV3ERXZA3MBHNL71UHMTA3X","3Z53LF8QZE8UWIVDKCKWDQ93U0OFCW","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [please do not take this HIT if you have completed a similar one before]","robot, human-robot interaction, dialog","$0.75","Wed Nov 28 11:08:56 PST 2018","51","BatchId:3452611;OriginalHitTemplateId:920937340;","7200","259200","Sat Dec 01 15:15:45 PST 2018","","","34X6J5FLPTZXSDG34UBXGXTDQP3QJZ","A1OVN32XH1791K","Submitted","Wed Nov 28 13:17:08 PST 2018","Wed Nov 28 13:28:53 PST 2018","Sat Dec 01 13:28:53 PST 2018","","","","705","0% (0/0)","0% (0/0)","0% (0/0)","5bff066c967f0_VN32XH1791KA1O_d8901a6e28be1"
"36818Z1KV3ERXZA3MBHNL71UHMTA3X","3Z53LF8QZE8UWIVDKCKWDQ93U0OFCW","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [please do not take this HIT if you have completed a similar one before]","robot, human-robot interaction, dialog","$0.75","Wed Nov 28 11:08:56 PST 2018","51","BatchId:3452611;OriginalHitTemplateId:920937340;","7200","259200","Sat Dec 01 15:15:45 PST 2018","","","354P56DE9K4GLYUEVPB58735HI77SH","A1UHNDB2EQ8TK0","Rejected","Wed Nov 28 12:22:32 PST 2018","Wed Nov 28 13:22:43 PST 2018","Sat Dec 01 13:22:43 PST 2018","","Wed Nov 28 15:15:44 PST 2018","entered mturk id instead of surveycode","3611","50% (3/6)","0% (0/3)","0% (0/3)","A1UHNDB2EQ8TK0"
"36818Z1KV3ERXZA3MBHNL71UHMTA3X","3Z53LF8QZE8UWIVDKCKWDQ93U0OFCW","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [please do not take this HIT if you have completed a similar one before]","robot, human-robot interaction, dialog","$0.75","Wed Nov 28 11:08:56 PST 2018","51","BatchId:3452611;OriginalHitTemplateId:920937340;","7200","259200","Sat Dec 01 15:15:45 PST 2018","","","35K3O9HUABESQ842CDPC7IC7EFYEF8","A3IDAO8T75VO3Z","Submitted","Wed Nov 28 13:15:49 PST 2018","Wed Nov 28 14:43:55 PST 2018","Sat Dec 01 14:43:55 PST 2018","","","","5286","100% (1/1)","0% (0/0)","0% (0/0)","5bff17db8917b_DAO8T75VO3ZA3I_42f2bc808bf9d"
"36818Z1KV3ERXZA3MBHNL71UHMTA3X","3Z53LF8QZE8UWIVDKCKWDQ93U0OFCW","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [please do not take this HIT if you have completed a similar one before]","robot, human-robot interaction, dialog","$0.75","Wed Nov 28 11:08:56 PST 2018","51","BatchId:3452611;OriginalHitTemplateId:920937340;","7200","259200","Sat Dec 01 15:15:45 PST 2018","","","36V4Q8R5ZK1NTLMO7ROPWPLUUJSQMX","A6RHP75VV3265","Submitted","Wed Nov 28 12:57:01 PST 2018","Wed Nov 28 13:02:36 PST 2018","Sat Dec 01 13:02:36 PST 2018","","","","335","0% (0/0)","0% (0/0)","0% (0/0)","5bff012b7a705_HP75VV3265A6R_3b52231cad1ac"
"36818Z1KV3ERXZA3MBHNL71UHMTA3X","3Z53LF8QZE8UWIVDKCKWDQ93U0OFCW","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [please do not take this HIT if you have completed a similar one before]","robot, human-robot interaction, dialog","$0.75","Wed Nov 28 11:08:56 PST 2018","51","BatchId:3452611;OriginalHitTemplateId:920937340;","7200","259200","Sat Dec 01 15:15:45 PST 2018","","","388U7OUMF72Q28UHV1QR3IOMN2Y0R2","A3LA5P3N3KI8U7","Submitted","Wed Nov 28 13:11:46 PST 2018","Wed Nov 28 13:30:46 PST 2018","Sat Dec 01 13:30:46 PST 2018","","","","1140","100% (1/1)","0% (0/0)","0% (0/0)","5bff07af26830_A5P3N3KI8U7A3L_bc2d2ff899b72"
"36818Z1KV3ERXZA3MBHNL71UHMTA3X","3Z53LF8QZE8UWIVDKCKWDQ93U0OFCW","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [please do not take this HIT if you have completed a similar one before]","robot, human-robot interaction, dialog","$0.75","Wed Nov 28 11:08:56 PST 2018","51","BatchId:3452611;OriginalHitTemplateId:920937340;","7200","259200","Sat Dec 01 15:15:45 PST 2018","","","39LNWE0K4UXTPV3E3LA2EXB2GWPIUR","A2BWAAIDC88QKX","Submitted","Wed Nov 28 14:47:45 PST 2018","Wed Nov 28 14:51:25 PST 2018","Sat Dec 01 14:51:25 PST 2018","","","","220","0% (0/0)","0% (0/0)","0% (0/0)","5bff1b2526e67_WAAIDC88QKXA2B_4c3b3d7d8cb7e"
"36818Z1KV3ERXZA3MBHNL71UHMTA3X","3Z53LF8QZE8UWIVDKCKWDQ93U0OFCW","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [please do not take this HIT if you have completed a similar one before]","robot, human-robot interaction, dialog","$0.75","Wed Nov 28 11:08:56 PST 2018","51","BatchId:3452611;OriginalHitTemplateId:920937340;","7200","259200","Sat Dec 01 15:15:45 PST 2018","","","39RP059MEHU0PFKZO9RZ10QV8JFMB5","A2KJ50DARKEBPR","Submitted","Wed Nov 28 12:20:23 PST 2018","Wed Nov 28 12:28:54 PST 2018","Sat Dec 01 12:28:54 PST 2018","","","","511","0% (0/0)","0% (0/0)","0% (0/0)","5bfef910a304a_J50DARKEBPRA2K_eaf9644b2bd12"
