task_2_clarification,task_3_perception_q,task_1_oidx_from_user,task_1_correct_goal,task_3_f1,task_2_synonym,task_1_correct_patient,incomplete_logfile,task_1_f1,task_2_perception_ex,task_3_perception_ex,task_1_perception_yn,task_1_correct_action,task_2_f1,task_3_correct_source,warning_found_in_logfile,task_2_correct_action,task_1_correct,task_3_clarification,task_2_oidx_from_user,pickle_exists,task_2_perception_yn,task_3_synonym,understood,log_exists,use_navigation,task_1_clarification,task_3_correct_goal,object_qs,task_3_str_from_user,task_2_str_from_user,task_3_correct,task_1_synonym,task_2_correct_patient,uid,task_2_correct,task_3_correct_recipient,task_3_correct_patient,task_2_perception_q,worker_id,task_1_perception_q,task_2_correct_source,task_3_oidx_from_user,tasks_easy,task_1_perception_ex,use_delivery,task_1_enum_from_user,frustrated,task_2_correct_goal,task_3_enum_from_user,task_2_correct_recipient,task_1_correct_recipient,task_3_correct_action,error_found_in_logfile,task_1_str_from_user,task_3_perception_yn,task_1_correct_source,task_2_enum_from_user,use_relocation
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,4,1,0,7,-2,2,0,0,-2,0,-2,5c140af3684b6,-2,-2,-2,0,A1FYWSPNO7KN1O,0,-2,0,6,3,,0,1,-2,0,-2,0,-2,0,7,0,0,0,
10,0,0,-2,-1,0,-2,1,-1,3,0,0,-2,0.666666666667,-2,0,1,-2,0,3,1,0,0,2,1,,0,-2,5,0,9,-2,0,0,5c140c5892df4,0,-2,-2,0,A2C7TMRC2QHTIW,0,0,0,3,0,1,0,5,0,0,1,-2,-2,0,0,0,-2,1,
0,0,0,-2,0,0,-2,1,-1,0,0,0,-2,-1,0,0,-2,-2,6,0,1,0,0,1,1,,0,0,0,5,0,0,0,-2,5c1423658b4c4,-2,0,0,0,AK467M5VTG7N4,0,-2,0,5,0,,0,5,-2,1,-2,-2,0,0,0,0,-2,0,0
0,0,0,-2,1.0,0,-2,1,-1,0,3,0,-2,-1,1,0,-2,-2,18,0,1,0,0,4,1,,0,1,4,17,0,1,0,-2,5c1419de1a37f,-2,0,1,0,A214HWAW1PYWO8,0,-2,3,5,0,,0,3,-2,1,-2,-2,1,0,0,0,-2,0,1
0,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,-1,-1,0,-2,-2,0,0,0,0,0,4,1,,0,-1,4,0,0,-1,0,-2,5c1412cbb37c0,-2,-1,-1,0,A21HDRSQA69JOH,0,-2,0,3,0,,0,5,-2,0,-2,-2,-1,0,0,0,-2,0,5
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,5,1,4,5,-2,5,0,0,-2,0,-2,5c14336bb69e8,-2,-2,-2,0,A2OEDX14YO8EFJ,0,-2,0,4,3,,1,4,-2,0,-2,0,-2,0,4,0,0,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,4,1,1,3,-2,3,0,0,-2,0,-2,5c140a6f62c7b,-2,-2,-2,0,A1TE3KFNTR3SLH,0,-2,0,5,3,,0,4,-2,0,-2,0,-2,0,3,0,0,0,
0,0,3,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,3,1,1,3,-2,5,0,0,-2,0,-2,5c1464732374a,-2,-2,-2,0,A3VAAV7ZCSO7NA,0,-2,0,2,3,,0,4,-2,0,-2,0,-2,0,3,0,0,0,
0,0,0,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,4,1,1,9,-2,4,0,0,-2,0,-2,5c142fdbbc7e4,-2,-2,-2,0,A6SR4BU227GUH,0,-2,0,5,0,,0,2,-2,0,-2,0,-2,0,9,0,0,0,
0,0,0,-2,1.0,0,-2,1,-1,0,2,0,-2,-1,1,0,-2,-2,16,0,1,0,0,0,1,,0,1,6,15,0,1,0,-2,5c140e3244855,-2,0,1,0,AB5IVPS4OP9M8,0,-2,2,6,0,,0,6,-2,2,-2,-2,1,0,0,1,-2,0,0
9,0,0,-2,-1,0,-2,1,-1,1,0,0,-2,1.0,-2,0,1,-2,0,1,1,2,0,1,1,,0,-2,3,0,10,-2,0,1,5c140c6f02cfb,1,-2,-2,0,A272X64FOZFYLB,0,0,0,6,0,0,0,4,0,0,1,-2,-2,0,0,0,-2,1,
0,0,0,1,-1,0,0,1,1.0,0,0,0,1,-1,-2,0,-2,1,0,0,1,0,0,0,1,0,7,-2,0,0,0,-2,0,-2,5c1439877e338,-2,-2,-2,0,A3GEL5PWFIK05S,0,-2,0,6,0,,1,6,-2,0,-2,0,-2,0,6,0,0,0,
0,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,-1,-2,0,-1,-2,0,0,0,0,0,5,1,,0,-2,6,0,0,-2,0,-1,5c141080243f8,-1,-2,-2,0,AD4F5FMMTENUP,0,-1,0,4,0,5,0,4,-1,0,-1,-2,-2,0,0,0,-2,0,
14,0,0,-2,-1,0,-2,1,-1,0,0,0,-2,1.0,-2,0,1,-2,0,0,1,3,0,4,1,,0,-2,5,0,16,-2,0,1,5c1422aebf593,1,-2,-2,0,AZ8JL3QNIPY4U,0,0,0,5,0,1,0,5,0,0,1,-2,-2,0,0,0,-2,1,
