task_1_correct_source,task_3_correct_patient,object_qs,task_2_synonym,task_2_correct,task_3_synonym,log_exists,task_3_str_from_user,task_2_enum_from_user,task_3_correct,task_2_perception_ex,task_2_oidx_from_user,task_2_correct_action,task_2_str_from_user,incomplete_logfile,tasks_easy,task_3_perception_yn,understood,use_relocation,task_1_correct_action,error_found_in_logfile,task_1_oidx_from_user,task_2_perception_yn,task_1_correct_recipient,task_1_perception_ex,task_1_correct_patient,task_1_correct_goal,task_3_correct_recipient,task_3_perception_ex,task_3_f1,task_2_correct_source,use_delivery,task_3_correct_goal,task_1_perception_q,task_1_perception_yn,task_3_oidx_from_user,task_2_f1,task_3_clarification,task_1_synonym,task_2_correct_goal,task_2_clarification,use_navigation,pickle_exists,task_1_f1,task_2_correct_patient,task_1_enum_from_user,task_3_perception_q,task_3_enum_from_user,task_1_clarification,worker_id,task_2_perception_q,task_2_correct_recipient,warning_found_in_logfile,task_1_correct,task_3_correct_source,frustrated,task_1_str_from_user,task_3_correct_action,uid
0,-2,3,0,-2,0,1,0,0,-2,0,0,-2,0,1,2,0,4,,1,0,3,0,0,3,0,0,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,3,1,0.5,-2,0,0,0,2,A3FFEHB44WZJ02,0,-2,0,0,-2,2,2,-2,5c1c1814796e8
-2,1,6,0,-2,0,1,7,0,0,0,0,-2,0,1,6,0,0,0,-2,0,0,0,-2,0,-2,-2,0,2,0.75,-2,,0,0,0,2,-1,7,0,-2,0,,1,-1,-2,0,0,0,0,A34VLM2UC0JY11,0,-2,0,-2,1,6,0,1,5c1c1e71c31bd
0,-2,6,0,-2,0,1,0,0,-2,0,0,-2,0,1,5,0,6,,1,0,3,0,0,3,0,0,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,6,1,0.5,-2,1,0,0,5,A1R1LPJA3QFCX3,0,-2,0,0,-2,5,4,-2,5c1c7868b24d1
0,-2,5,0,-2,0,1,0,0,-2,0,0,-2,0,1,1,0,1,,1,0,3,0,0,3,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,1,1,1.0,-2,0,0,0,4,A8F4B0854KTXO,0,-2,0,1,-2,5,4,-2,5c1c2c5a0553b
0,-2,2,0,-2,0,1,0,0,-2,0,0,-2,0,1,5,0,3,,1,0,0,0,0,0,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,1,1,1.0,-2,1,0,0,7,A2RQMEPIHW5BOS,0,-2,0,1,-2,4,6,-2,5c1c05a9d20ca
0,-2,4,0,-2,0,1,0,0,-2,0,0,-2,0,1,5,0,5,,1,0,3,0,0,3,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,2,1,1.0,-2,1,0,0,6,AL7M7SMMAUVL6,0,-2,0,1,-2,4,5,-2,5c1c18a86fe2a
-2,0,4,0,-2,0,1,2,0,0,0,0,-2,0,1,2,0,2,0,-2,0,0,0,-2,0,-2,-2,0,3,0,-2,,0,0,0,3,-1,2,0,-2,0,,1,-1,-2,0,0,0,0,A19ZWBQT8A3LIR,0,-2,0,-2,0,4,0,0,5c1c0176145e0
0,-2,1,0,-2,0,1,0,0,-2,0,0,-2,0,1,5,0,5,,1,0,0,0,0,0,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,3,1,1.0,-2,1,0,0,8,A3HCTUPKZPFJL8,0,-2,0,1,-2,1,7,-2,5c1c0514077da
0,-2,1,0,-2,0,1,0,0,-2,0,0,-2,0,1,5,0,6,,1,0,3,0,0,3,0,1,-2,0,-1,-2,,-2,0,0,0,-1,0,0,-2,0,5,1,1.0,-2,0,0,0,2,A2BL6ZVUM0B9C8,0,-2,0,1,-2,1,2,-2,5c1c1e2709b43
-2,-2,2,0,0,0,1,0,1,-2,0,0,0,7,1,5,0,4,,-2,0,0,0,-2,0,-2,-2,-2,0,-1,0,5,-2,0,0,0,0,0,0,0,8,,1,-1,0,0,0,0,0,A16F1JFXBPY43L,0,0,0,-2,-2,6,0,-2,5c1c327d7b601
