task_2_clarification,task_3_perception_q,task_1_oidx_from_user,task_3_f1,task_2_synonym,incomplete_logfile,task_1_f1,task_2_perception_ex,task_3_perception_ex,task_1_perception_yn,task_1_correct_action,task_2_f1,warning_found_in_logfile,task_2_correct_action,task_1_correct,task_3_clarification,task_2_oidx_from_user,pickle_exists,task_2_perception_yn,task_3_synonym,understood,log_exists,use_navigation,task_1_clarification,object_qs,task_3_str_from_user,task_2_str_from_user,task_3_correct,task_1_synonym,always_chose_walk,uid,task_2_perception_q,worker_id,task_1_perception_q,task_3_oidx_from_user,tasks_easy,use_delivery,frustrated,task_2_correct,task_3_correct_action,use_relocation,task_1_str_from_user,task_3_perception_yn,task_1_perception_ex,error_found_in_logfile
0,0,5,-1,0,1,0.285714285714,0,0,0,1,-1,1,-2,0,0,0,1,0,0,5,1,2,2,6,0,0,-2,0,1,5bfa3eb0e0195,0,A2L73JKDFWI0KJ,0,0,5,,4,-2,-2,,2,0,5,0
0,0,0,-1,0,1,0.571428571429,0,0,0,1,-1,1,-2,1,0,0,1,0,0,2,1,0,6,5,0,0,-2,0,1,5bfa218d017a8,0,AXQKGVWRFYMM,0,0,4,,4,-2,-2,,6,0,0,0
0,0,0,-1,0,1,0.571428571429,0,0,0,1,-1,1,-2,1,0,0,1,0,0,1,1,1,13,5,0,0,-2,0,1,5bfa22cd72d27,0,ABHKTBF20ZL6G,0,0,2,,4,-2,-2,,13,0,0,0
0,0,5,-1,0,1,0.571428571429,0,0,0,1,-1,1,-2,1,0,0,1,0,0,5,1,3,6,5,0,0,-2,0,1,5bfa217e2c935,0,A3HL2LL0LEPZT8,0,0,4,,4,-2,-2,,6,0,5,0
0,0,5,-1,0,1,0.571428571429,0,0,0,1,-1,1,-2,1,0,0,1,0,0,5,1,4,3,6,0,0,-2,0,1,5bfa2157898ec,0,A27FDREN8AU3SZ,0,0,4,,4,-2,-2,,3,0,5,0
0,0,5,-1,0,1,0,0,0,0,0,-1,1,-2,0,0,0,1,0,0,0,1,0,12,5,0,0,-2,0,0,5bfa21c19b3f0,0,AZHAY2KATU7K0,0,0,1,,6,-2,-2,,12,0,5,0
0,0,5,-1,0,1,0.285714285714,0,0,0,1,-1,1,-2,0,0,0,1,0,0,5,1,6,2,0,0,0,-2,0,1,5bfa229445c3a,0,A3EF8GZ0SK81BS,0,0,4,,0,-2,-2,,2,0,5,0
0,0,5,-1,0,1,0.285714285714,0,0,0,0,-1,1,-2,0,0,0,1,0,0,1,1,1,15,4,0,0,-2,0,0,5bfa25ac4d589,0,A28V55IDNANYCT,0,0,1,,5,-2,-2,,15,0,5,0
0,0,0,-1,0,1,0.285714285714,0,0,0,1,-1,1,-2,0,0,0,1,0,0,0,1,0,8,1,0,0,-2,0,1,5bfa22b7a7982,0,AWJ5RYXJCSGV0,0,0,5,,1,-2,-2,,8,0,0,0
0,0,5,-1,0,1,0.285714285714,0,0,0,1,-1,1,-2,0,0,0,1,0,0,1,1,0,6,6,0,0,-2,0,1,5bfa243f47b02,0,A3MFK5UEUG95M3,0,0,5,,5,-2,-2,,6,0,5,0
0,0,0,-1,0,1,0.571428571429,0,0,0,1,-1,1,-2,1,0,0,1,0,0,2,1,2,7,5,0,0,-2,0,1,5bfa3ec68ebe5,0,A34Z98E02VMWKB,0,0,5,,4,-2,-2,,7,0,0,0
0,0,5,-1,0,1,0.571428571429,0,0,0,1,-1,1,-2,1,0,0,1,0,0,5,1,5,4,3,0,0,-2,0,1,5bfa231d6ff1f,0,A293CEKS4HJAWT,0,0,5,,2,-2,-2,,4,0,5,0
0,0,5,-1,0,1,0,0,0,0,0,-1,1,-2,0,0,0,1,0,0,2,1,4,12,4,0,0,-2,0,0,5bfa22531659d,0,A2WUGMC8B0YT95,0,0,2,,4,-2,-2,,12,0,5,0
0,0,0,-1,0,1,0.285714285714,0,0,0,1,-1,1,-2,0,0,0,1,0,0,4,1,1,8,1,0,0,-2,0,1,5bfa5091e7ca7,0,A3B3WG43FKOG6X,0,0,6,,5,-2,-2,,8,0,0,0
0,0,5,-1,0,1,0.285714285714,0,0,0,1,-1,1,-2,0,0,0,1,0,0,4,1,4,5,2,0,0,-2,0,1,5bfa214565f57,0,A282PP6IX46HG7,0,0,1,,5,-2,-2,,5,0,5,0
0,0,0,-1,0,1,0.285714285714,0,0,0,1,-1,1,-2,0,0,0,1,0,0,6,1,6,8,6,0,0,-2,0,1,5bfa3b25c6c03,0,A1ICWR931J4062,0,0,5,,4,-2,-2,,8,0,0,0
0,0,0,-1,0,1,0.571428571429,0,0,0,1,-1,1,-2,1,0,0,1,0,0,4,1,5,6,0,0,0,-2,0,1,5bfa42bb31ddd,0,A15SJZQBR8I3B3,0,0,6,,0,-2,-2,,6,0,0,0
0,0,5,-1,0,1,0,0,0,0,0,-1,1,-2,0,0,0,1,0,0,1,1,0,15,5,0,0,-2,0,0,5bfa27fb0b338,0,A34XVNVOL49Y8C,0,0,1,,5,-2,-2,,15,0,5,0
0,0,5,-1,0,1,0.571428571429,0,0,0,1,-1,1,-2,1,0,0,1,0,0,5,1,3,2,4,0,0,-2,0,1,5bfa271072bf2,0,ARJ8XLYXTWNE,0,0,5,,2,-2,-2,,2,0,5,0
0,0,0,-1,0,1,0.571428571429,0,0,0,1,-1,1,-2,1,0,0,1,0,0,4,1,3,7,3,0,0,-2,0,1,5bfa2ba849a3a,0,A11BACV6DY5S8M,0,0,5,,4,-2,-2,,7,0,0,0
