"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3ZXV7Q5FJBPA6QNUQKEGSBGFJCECFY","3V48FT8911WNA6T0GR5VVK67HL9MJO","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [DO NOT TAKE THIS HIT IF YOU HAVE COMPLETED A SIMILAR ONE BEFORE]","robot, human-robot interaction, dialog","$0.70","Mon Nov 26 17:55:28 PST 2018","30","BatchId:3449942;OriginalHitTemplateId:920937340;","7200","259200","Thu Nov 29 17:55:28 PST 2018","","","31HQ4X3T3SBF0JJGZJCFRCL6CS9LSH","A1V1P7ZCBHURSB","Submitted","Mon Nov 26 20:34:04 PST 2018","Mon Nov 26 20:45:28 PST 2018","Thu Nov 29 20:45:28 PST 2018","","","","684","0% (0/0)","0% (0/0)","0% (0/0)","5bfcc98a4138c_1P7ZCBHURSBA1V_683d1b9dbc0da"
"3ZXV7Q5FJBPA6QNUQKEGSBGFJCECFY","3V48FT8911WNA6T0GR5VVK67HL9MJO","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [DO NOT TAKE THIS HIT IF YOU HAVE COMPLETED A SIMILAR ONE BEFORE]","robot, human-robot interaction, dialog","$0.70","Mon Nov 26 17:55:28 PST 2018","30","BatchId:3449942;OriginalHitTemplateId:920937340;","7200","259200","Thu Nov 29 17:55:28 PST 2018","","","31QTRG6Q2TE2NQANQHXBQFIRYMKPY9","A1XATJA7ENOGWB","Submitted","Mon Nov 26 17:57:39 PST 2018","Mon Nov 26 18:27:50 PST 2018","Thu Nov 29 18:27:50 PST 2018","","","","1811","100% (8/8)","0% (0/0)","0% (0/0)","5bfcaa501c5d1_ATJA7ENOGWBA1X_7b8e29a8ae8dc"
"3ZXV7Q5FJBPA6QNUQKEGSBGFJCECFY","3V48FT8911WNA6T0GR5VVK67HL9MJO","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [DO NOT TAKE THIS HIT IF YOU HAVE COMPLETED A SIMILAR ONE BEFORE]","robot, human-robot interaction, dialog","$0.70","Mon Nov 26 17:55:28 PST 2018","30","BatchId:3449942;OriginalHitTemplateId:920937340;","7200","259200","Thu Nov 29 17:55:28 PST 2018","","","31Z0PCVWUKGH0Y7TKPGVICZRJRCT7Z","A2SKV4XPYZ303H","Submitted","Mon Nov 26 19:40:15 PST 2018","Mon Nov 26 19:50:40 PST 2018","Thu Nov 29 19:50:40 PST 2018","","","","625","100% (1/1)","0% (0/0)","0% (0/0)","5bfcbd499d1c8_KV4XPYZ303HA2S_7d4a2f5def5d6"
"3ZXV7Q5FJBPA6QNUQKEGSBGFJCECFY","3V48FT8911WNA6T0GR5VVK67HL9MJO","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [DO NOT TAKE THIS HIT IF YOU HAVE COMPLETED A SIMILAR ONE BEFORE]","robot, human-robot interaction, dialog","$0.70","Mon Nov 26 17:55:28 PST 2018","30","BatchId:3449942;OriginalHitTemplateId:920937340;","7200","259200","Thu Nov 29 17:55:28 PST 2018","","","32XVDSJFPZY612K35GYO07NRE3Y2MV","A76LH7X2UWST5","Submitted","Mon Nov 26 20:10:19 PST 2018","Mon Nov 26 20:16:31 PST 2018","Thu Nov 29 20:16:31 PST 2018","","","","372","0% (0/0)","0% (0/0)","0% (0/0)","5bfcc3b1e3a9a_LH7X2UWST5A76_dc810e98010f8"
"3ZXV7Q5FJBPA6QNUQKEGSBGFJCECFY","3V48FT8911WNA6T0GR5VVK67HL9MJO","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [DO NOT TAKE THIS HIT IF YOU HAVE COMPLETED A SIMILAR ONE BEFORE]","robot, human-robot interaction, dialog","$0.70","Mon Nov 26 17:55:28 PST 2018","30","BatchId:3449942;OriginalHitTemplateId:920937340;","7200","259200","Thu Nov 29 17:55:28 PST 2018","","","33ISQZVXPPN6QY0EPKTG9OR1WFTCCG","A1ER7Z5J872XAB","Submitted","Mon Nov 26 18:27:55 PST 2018","Mon Nov 26 18:35:12 PST 2018","Thu Nov 29 18:35:12 PST 2018","","","","437","0% (0/0)","0% (0/0)","0% (0/0)","5bfcabce9cba5_R7Z5J872XABA1E_5943642233b04"
"3ZXV7Q5FJBPA6QNUQKEGSBGFJCECFY","3V48FT8911WNA6T0GR5VVK67HL9MJO","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [DO NOT TAKE THIS HIT IF YOU HAVE COMPLETED A SIMILAR ONE BEFORE]","robot, human-robot interaction, dialog","$0.70","Mon Nov 26 17:55:28 PST 2018","30","BatchId:3449942;OriginalHitTemplateId:920937340;","7200","259200","Thu Nov 29 17:55:28 PST 2018","","","33PPO7FECVG78TSSHQKD4X7EULBDI7","A3MLB700V9U51W","Submitted","Mon Nov 26 21:44:21 PST 2018","Mon Nov 26 22:07:39 PST 2018","Thu Nov 29 22:07:39 PST 2018","","","","1398","0% (0/0)","0% (0/0)","0% (0/0)","5bfcd9be68877_LB700V9U51WA3M_be10f54119ebd"
"3ZXV7Q5FJBPA6QNUQKEGSBGFJCECFY","3V48FT8911WNA6T0GR5VVK67HL9MJO","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [DO NOT TAKE THIS HIT IF YOU HAVE COMPLETED A SIMILAR ONE BEFORE]","robot, human-robot interaction, dialog","$0.70","Mon Nov 26 17:55:28 PST 2018","30","BatchId:3449942;OriginalHitTemplateId:920937340;","7200","259200","Thu Nov 29 17:55:28 PST 2018","","","34FNN24DCMAYUGS462OXS9DA7N5Y5K","A2QBBJCOCZPTYR","Submitted","Mon Nov 26 20:42:22 PST 2018","Mon Nov 26 20:53:00 PST 2018","Thu Nov 29 20:53:00 PST 2018","","","","638","0% (0/0)","0% (0/0)","0% (0/0)","5bfccb37d8899_BBJCOCZPTYRA2Q_d0cfc39cb52a2"
"3ZXV7Q5FJBPA6QNUQKEGSBGFJCECFY","3V48FT8911WNA6T0GR5VVK67HL9MJO","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [DO NOT TAKE THIS HIT IF YOU HAVE COMPLETED A SIMILAR ONE BEFORE]","robot, human-robot interaction, dialog","$0.70","Mon Nov 26 17:55:28 PST 2018","30","BatchId:3449942;OriginalHitTemplateId:920937340;","7200","259200","Thu Nov 29 17:55:28 PST 2018","","","34PGFRQONOC2CACPG3A38MBZEFGWJJ","A2JFRMQ3M0YZT2","Submitted","Mon Nov 26 18:08:47 PST 2018","Mon Nov 26 18:18:47 PST 2018","Thu Nov 29 18:18:47 PST 2018","","","","600","100% (1/1)","0% (0/0)","0% (0/0)","5bfca7af0ff70_FRMQ3M0YZT2A2J_730331297691d"
"3ZXV7Q5FJBPA6QNUQKEGSBGFJCECFY","3V48FT8911WNA6T0GR5VVK67HL9MJO","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [DO NOT TAKE THIS HIT IF YOU HAVE COMPLETED A SIMILAR ONE BEFORE]","robot, human-robot interaction, dialog","$0.70","Mon Nov 26 17:55:28 PST 2018","30","BatchId:3449942;OriginalHitTemplateId:920937340;","7200","259200","Thu Nov 29 17:55:28 PST 2018","","","34YB12FSQYPWGWSA4VJD2BHSOMBGM0","A294K4JY5XISO6","Submitted","Mon Nov 26 21:46:30 PST 2018","Mon Nov 26 22:00:04 PST 2018","Thu Nov 29 22:00:04 PST 2018","","","","814","0% (0/0)","0% (0/0)","0% (0/0)","A294K4JY5XISO6"
"3ZXV7Q5FJBPA6QNUQKEGSBGFJCECFY","3V48FT8911WNA6T0GR5VVK67HL9MJO","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn [DO NOT TAKE THIS HIT IF YOU HAVE COMPLETED A SIMILAR ONE BEFORE]","robot, human-robot interaction, dialog","$0.70","Mon Nov 26 17:55:28 PST 2018","30","BatchId:3449942;OriginalHitTemplateId:920937340;","7200","259200","Thu Nov 29 17:55:28 PST 2018","","","3DH6GAKTYYQW1UCTDQVDHDK58MDYZR","A2ALYW6W16PUYQ","Submitted","Mon Nov 26 20:36:43 PST 2018","Mon Nov 26 20:45:19 PST 2018","Thu Nov 29 20:45:19 PST 2018","","","","516","0% (0/0)","0% (0/0)","0% (0/0)","5bfcca26a179c_LYW6W16PUYQA2A_20606ab049049"
